127.0.0.1 - - [08/Sep/2022:14:48:24 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:48:25 +0530] "GET /BootieProject/index.jsp HTTP/1.1" 200 32056
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:48:25 +0530] "GET /BootieProject/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:48:25 +0530] "GET /BootieProject/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:48:25 +0530] "GET /BootieProject/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:48:25 +0530] "GET /BootieProject/images/s1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:48:25 +0530] "GET /BootieProject/images/s2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:48:25 +0530] "GET /BootieProject/images/s3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:48:25 +0530] "GET /BootieProject/images/s4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:48:25 +0530] "GET /BootieProject/images/s6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:48:25 +0530] "GET /BootieProject/images/s5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:48:25 +0530] "GET /BootieProject/images/s7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:48:25 +0530] "GET /BootieProject/images/s8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:48:25 +0530] "GET /BootieProject/images/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:48:25 +0530] "GET /BootieProject/images/img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:48:25 +0530] "GET /BootieProject/images/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:48:25 +0530] "GET /BootieProject/images/s9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:48:25 +0530] "GET /BootieProject/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:48:25 +0530] "GET /BootieProject/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:48:25 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:48:41 +0530] "GET /BootieProject/customer-registration.jsp HTTP/1.1" 200 13727
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:48:58 +0530] "GET /BootieProject/seller-login.jsp HTTP/1.1" 200 13505
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:49:11 +0530] "GET /BootieProject/seller-registration.jsp HTTP/1.1" 200 10057
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:49:31 +0530] "POST /BootieProject/SellerController HTTP/1.1" 200 13564
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:50:07 +0530] "POST /BootieProject/SellerController HTTP/1.1" 200 13566
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:50:19 +0530] "POST /BootieProject/SellerController HTTP/1.1" 200 32095
0:0:0:0:0:0:0:1 - - [08/Sep/2022:14:50:22 +0530] "GET /BootieProject/seller-profile.jsp HTTP/1.1" 200 10617
